# started on Wed Apr 22 22:58:56 2026

4.96,msec,task-clock,1.56%,4912556,100.00,0.891,CPUs utilized
1,,context-switches,33.33%,4912556,100.00,201.536,/sec
0,,cpu-migrations,0.00%,4912556,100.00,0.000,/sec
314,,page-faults,0.11%,4912556,100.00,63.282,K/sec
11789585,,cycles,1.44%,1982815,40.00,2.376,GHz
17531910,,instructions,1.00%,1979001,40.00,1.49,insn per cycle
3737674,,branches,0.42%,2509185,51.00,753.276,M/sec
58366,,branch-misses,1.06%,3439723,70.00,1.56,of all branches
5467025,,cache-references,0.18%,4441852,90.00,1.102,G/sec
73314,,cache-misses,0.93%,4912556,100.00,1.34,of all cache refs
5446129,,L1-dcache-loads,0.52%,4912556,100.00,1.098,G/sec
68873,,L1-dcache-load-misses,3.75%,3404259,69.00,1.26,of all L1-dcache accesses
148903,,LLC-loads,1.16%,2403371,48.00,30.009,M/sec
64910,,LLC-load-misses,6.96%,1472833,29.00,43.59,of all LL-cache accesses
